question,llmScore
"What number indicates an oversold condition in the Relative Strength Index (RSI)?
",5
"What is one way to evaluate a company's management?
",3
"What is the obligation when writing a put option?
",5
"Who has a better understanding of real-world economics between a Keynesian and an Austrian economist?
",4
"What is the definition of a dividend?
",5
"What type of stocks are generally considered defensive?
",4
"How many stocks can typically be bought at a good price during a bull market?
",2
"How can debt become a huge problem for a company?
",4
"What is the risk of writing covered calls?
",3
"What is book value in the context of stock investing?
",4
"What kind of advantage do UPS and FedEx have over their competitors?
",4
"Who is the opposite of the frenetic host on TV who gives hot stock tips?
",5
"What is the typical length of a short-term trend in financial markets?
",5
"What is a bearish pattern indicated by two price attempts called?
",4
"What investing strategy is generally associated with less risk and steadier growth over a longer term?
",5
"What is the equation used to determine a company's net worth on its balance sheet?
",4
"What is the investing philosophy with the longest history of success?
",3
"What is resistance in technical analysis?
",5
"How is dividend yield calculated?
",5
"What causes a stock's price to increase?
",5
"How does the government typically categorize dividends for tax purposes?
",2
"How can you find out a company's profit?
",3
"What is an important aspect of a company's performance that financial publications regularly track?
",4
"What does it mean if a stock has been oversold according to technical data?
",5
"What is a potential issue if an analyst has ties to the company they are recommending?
",4
"What is the symbol for the iShares Core High Dividend ETF?
",3
"What is a healthy dividend payout ratio?
",3
"What does the head and shoulders pattern in technical analysis indicate?
",3
"How can you calculate the portion of a portfolio that should be made up of income stocks?
",3
"Why can income stocks' prices not fall as dramatically as other stocks' prices in a declining market?
",5
"What is the positive effect on a company's stock if its offerings are well received by consumers?
",5
"What is the definition of ""collecting cash flows"" in the context of stock investment?
",3
"How does the government typically categorize dividends for tax purposes?
",5
"How do analysts determine a rating for a stock?
",3
"What is a low-risk options strategy that can boost a stock portfolio's cash flow?
",4
"What is the shape difference between a flag and a pennant in continuation patterns?
",5
"What is the major drawback of technical analysis according to the context?
",4
"How is a company's market capitalization calculated?
",5
"What kind of investment vehicle is a Business Development Company (BDC)?
",5
"When should analysts have recommended to sell certain stocks?
",3
"What is the highest rating issued by S&P?
",5
"What type of investment has elements of both a stock and a mutual fund?
",4
"What is the significance of the head and shoulders pattern in technical analysis?
",5
"What is the first thing a value investor should look at when analyzing a company's stock?
",3
"What is a bedrock principle in technical analysis regarding the price movement of a stock?
",5
"What is the definition of sales in the context of a company's income statement?
",4
"How is the yield of a stock calculated?
",5
"Who are income stocks well-suited for according to the text?
",3
"What is the nickname for the Kentucky Derby?
",5
"What book provides a more comprehensive review of options?
",2
"Who are some legendary investors who didn't use technical analysis?
",5
"Why is a company's bond rating important for income stock investors?
",5
"What does a 'strong buy' or 'buy' recommendation mean for a stock?
",5
"What is a megatrend in the context of stock investing?
",5
"Are stock dividends and company dividends the same?
",5
"What is the importance of profit to a company?
",4
"What is the impact of institutional buying on a stock's price?
",4
"How can technical analysis help in trading or speculating?
",4
"Who are the investors that look at a company's value to judge whether they can purchase the stock at a good price?
",5
"What is the ROE for Grobaby in the year 2020?
",3
"What is the main focus of technical analysis in stock investing?
",5
"What is a growth stock in stock investing?
",4
"Why do certain types of companies require significant financing?
",5
"How can comparing a company's balance sheet over time help in evaluating its financial strength?
",4
"What is one website where I can discover more information about technical analysis?
",2
"What is the definition of a low price-to-sales ratio?
",5
"What is the first golden rule of writing put options?
",4
"How much was the total amount of derivatives held by the company according to its 10K report?
",5
"How is the dividend yield calculated in the financial pages for a stock?
",4
"Why are chart patterns still relevant in technical analysis?
",3
"How can investors determine a company's value?
",5
"What percentage of the stock picks of the author are profitable?
",3
"How can I use technical conditions to time a trade?
",2
"What is a subcategory of technical analysis that uses charts?
",4
"Who introduced candlestick charts and when?
",2
"What type of stocks can act as a safer investment during a bear market?
",4
"What does a symmetrical triangle pattern indicate in stock prices?
",5
"What does a notch on the left side of a vertical line in a bar chart represent?
",2
"Are Tesla and Uber profitable as of early 2020?
",3
"What is a market order when buying stocks?
",5
"Who was one of the first global investors to buy stocks of Japanese companies after World War II?
",1
"How can an investor minimize risk and potential losses while maximizing gains in small cap stocks?
",3
"What is the difference between investing and speculating in terms of the types of markets they are associated with?
",4
"What is the impact of price controls on a chair-building company's profits and survival?
",5
"How does choosing a market cap in a stock screener help in refining a stock search?

",5
"What is a good ETF option for investors looking for exposure to Africa's growth prospects?
",3
"What is the Standard & Poor's (S&P) Industry Survey and how can it be accessed?
",4
"What factors influence the growth of an industry?
",4
"How does a stop-loss order protect an investor's stock investment in a volatile market?
",3
"What is the role of central banks in managing the supply of currency?
",5
"What were some of the major causes of the market turmoil in late 2008?
",4
"What is a safe price-to-earnings (P/E) ratio range for stable, dividend-paying stocks?
",3
"What is the purpose of Form 3 in SEC filings?
",3
"How does the number of shares in a DRP account increase over time with dividend reinvestment?
",2
"How can investors buy stocks in small quantities through organizations?
",3
"How can defensive stocks grow despite not doing as well in good times?
",2
"Will the demand for library products and services continue in the long term?
",4
"What is the definition of small cap stocks in terms of market value?
",3
"What are some select newspapers that are worth keeping for investment purposes?
",3
"What is a trailing stop in stock investing?

",3
"What does the 'E' in the P/E ratio represent?
",5
"What are the different types of ETFs based on structure?
",3
"What is the significance of a stock's RSI (Relative Strength Index) being under 30 in technical analysis?
",5
"What is a conditional order in the context of stock trading?
",4
"How often do IPOs decline in price during the first 12 months?
",3
"What is the purpose of a proxy statement in the context of company meetings?
",5
"What is the most convenient way for investors in the US to purchase international stocks?
",3
"What is the purpose of Form 10K in the context of securities regulation?
",5
"How does the performance of cyclical and defensive industries differ during economic fluctuations?
",3
"What is a good-til-canceled (GTC) order in stock trading?
",5
"How does politics affect a company in a nonsystemic way?

",3
"What is a brokerage order technique that can help investors minimize losses?
",4
"What can the stock buyback announcement by a company indicate?
",3
"How often do DRPs make stock purchases?
",3
"What are some subcategories touched on for finding stocks with specific filters?
",4
"How does a broker obtain the shares to be shorted in a short sale?
",3
"What are some advantages of using margin loans from brokerage accounts?
",3
"What is the recommended amount of money to invest in small cap stocks for inexperienced investors?
",3
"What is the purpose of Direct Purchase Programs (DPPs) offered by companies?
",3
"Why did marijuana stocks soar in 2018?
",3
"What is a motif in the context of investing?
",3
"How much money do brokers typically require in an account before approving an investor for margin?
",5
"What is the role of government intervention in the growth or decline of an industry?
",4
"What is the result of government bailouts on the healthier private economy?
",5
"What is one way to find stocks to go short on using the Yahoo! Finance screener?
",3
"What is the definition of the price to sales ratio (PSR) in investing?
",5
"How can investors buy top stocks for a low cost with no brokerage commissions?
",3
"What is the track record of IPOs during their first year?
",2
"What is the Consumer Confidence Index and why is it important for investors?
",5
"What is the purpose of using a street name for holding stocks in a brokerage account?
",4
"How does dollar cost averaging (DCA) help small investors purchase stocks at a lower average price per share?
",3
"Why might company insiders sell their stock to diversify their holdings?
",2
"What is the function of a stock screening tool?
",5
"What is the Federal Reserve Board's regulation regarding margin requirements for brokers?
",5
"What is the risk associated with motif investing?
",3
"How can you save stock screeners for future use in Yahoo! Finance?
",4
"Why might someone use a day order to test a price?
",3
"What can be a possible indication of a company's negative prospects?
",3
"What type of criteria can be entered in the ETF screener of Yahoo! Finance?
",4
"What are three government resources where investors can learn about policies that can affect their wealth?
",4
"What indicates a serious recession or possibly a depression in the economy?
",3
"Who is John Templeton and how did he make his fortune?
",3
"How can I check a company's financial reports and see if any complaints have been filed against it?
",4
"What is an example of a popular theme in ETFs according to the text?
",2
"How does a bank that issues an ADR handle currency conversion for American investors?
",2
"What is the potential impact of price controls on a business that sells chairs?
",5
"What are some recommended sources for private reports and commentaries on the economy?
",2
"What does a significant increase in accounts receivable compared to sales in a company's balance sheet indicate?
",3
"What happened to the first wave of dot-com companies?
",5
"How does a new tax, law, or regulation impact a stock?
",5
"What is the purpose of using stock screening tools?
",5
"What does the P/E ratio represent in the context of stock valuation?
",5
"What is the risk of buying the stock of a company that is not making a profit?
",4
"What is dollar cost averaging (DCA) and how does it perform in different market conditions?
",3
"How does a higher P/E ratio in an ETF affect its risk level?
",3
"What are some popular websites to find small cap and micro cap stocks?
",3
"What is the role of the National Unemployment Report in providing a snapshot of the economy's health and productivity?
",5
"What kind of industries tend to do well when consumers and investors are confident and tend to spend and invest more money than usual?
",3
"How can someone invest in international stocks conveniently?
",4
"What is the minimum amount required to open a cash account with Motif?
",2
"How do stock screening tools handle a search when only one value or parameter is entered?
",4
"What percentage of a stock portfolio should ideally be in financially sound companies?
",2
"How can I obtain company documents filed with the SEC for free?
",4
"What is the benefit of OCPs in DRPs?
",3
"What is the difference between developed markets and emerging markets in international investing?
",5
"What can be the significance of insider selling?
",2
"What is the Consumer Price Index (CPI) and how does it affect the stock market?
",5
"How do politics affect stock investing decisions?
",4
"How can I access a company's annual report?
",3
"What is a good example of a leading robotics ETF?
",3
"What is an example of an advanced order in stock trading?
",3
"How is the popularity of an ETF measured in the ETF Database screener?
",5
"How is the profit margin calculated in the Yahoo! Finance tool?
",3
"What is the uptick rule in the context of short selling?
",3
"What kind of investment does buying stock in developed, mature economies represent?
",3
"How much profit do you make if you buy back 100 shares at $40 each in a short sale?
",2
"How does using margin in stock trading affect the return on investment?
",3
"What is a country-specific ETF that offers the most singular exposure to South Korea?
",3
"What type of ETFs primarily invest in the bonds of a specific country or region?
",2
"What was the purpose of the uptick rule in the stock market?
",3
"How does a company's earnings per share (EPS) change due to a stock buyback?
",4
"Where can investors find the company's strategic plan for the upcoming year in an annual report?
",1
"What is the website address for Standard & Poor's publications?
",4
"How does the distribution of a company's offerings impact its stock price?
",5
"What type of reports are publicly available that show insider's stock transactions?
",4
"What is the impact of excessive regulations, burdensome mandates, and high taxes on investors?
",4
"What is beta in stock market terminology?
",5
"What is the effect of stock volatility on a limit order?
",2
"What can harm business formation and lead to investor losses?
",2
"What is the difference between a sector and an industry in the context of investing?
",5
"What is a recommended way to participate in the growth of cryptocurrencies with less exposure to their risks and volatility?
",3
"How can the actions of company insiders provide clues into the near-term prospects for their company?
",3
"How does a trailing stop-loss order work in the stock market?
",4
"How can a company protect itself from an unwanted takeover?
",4
"Which countries in Eastern Europe are considered developed and emerging as of 2020?
",3
"How many shares did the CEO buy in the example given in the context?
",1
"What are the two types of companies to consider investing in after choosing an industry?
",3
"How does dollar cost averaging help investors?
",3
"What is an example of a company that can be invested in if an investor believes soybeans will do well in the future?
",3
"How can a company increase its earnings per share without earning extra money?
",4
"What is a safer investing vehicle in terms of performance duration?
",3
"How does buying on margin using leverage maximize gains in a favorable market?
",3
"How is the processing of a dividend reinvestment plan (DRP) typically handled?
",3
"Can I use the stock from my DRP to pay off debt?
",3
"What was the best performing motif in the 12-month period ending October 2019?
",5
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",4
"What should you consider when analyzing insider selling patterns?
",3
"How much money is needed to start investing in some DRPs?
",3
"What is the URL for Franklin Templeton's emerging markets blog?
",4
"What is required for an investor to be able to short a stock?
",4
"What is the recommended way to invest in cryptocurrencies?
",4
"What are some factors that can contribute to the growth or decline of an industry?
",5
"What is a suitable investment option if I believe that grains in general will do well but am unsure which ones will be most profitable?
",3
"How can using margin lead to increased losses in the stock market?
",3
"Why is the federal government considering intervening in GCU's operations?
",3
"How can a company's sales to politically unstable countries impact its stock?
",3
"What is the minimum debt to equity ratio required when purchasing stock on margin?
",4
"How many years does the annual report's summary of past financial figures typically cover?
",2
"What is a global ETF and what are some widely traded examples?
",3
"Which major mutual fund companies have a global mutual fund?
",3
"What are ADRs and how can they be used for international investing?
",4
"How much in derivatives are major money center banks carrying according to the Bank for International Settlements?
",4
"Why is it important to read annual reports for stocks held for the long term?
",5
"How is the average cost per share calculated in a Dollar Cost Averaging (DCA) strategy?
",5
"What kind of industries tend to increase their spending during economic prosperity?
",3
"How can an investor measure the volatility of a stock's price?
",3
"What is risk capital in the context of small cap stocks?
",4
"What is a good ETF for investing in the entire continent of Europe?
",3
"What is the purpose of a Form 10Q report?
",5
"What is a short squeeze in stock market?
",5
"How does an increase in the money supply impact stock investing?
",4
"How has technology made it easier to participate in DRPs?
",4
"What is the preference for a trailing stop setting according to William O'Neill?
",4
"What can insider buying indicate about a company's stock?
",3
"Does Yumpin Yimminy Corp. have a Dividend Reinvestment Plan (DRP) or Direct Purchase Plan (DPP)?
",3
"How can novice ETF investors ensure they're buying a large ETF with higher market capitalization?
",4
"What is the Producer Price Index (PPI) and how is it calculated?
",4
"How does a limit order work when buying a stock?
",4
"What is the importance of financial reports in investing and where can one learn to read them?
",4
"What is the difference between developed and emerging Europe in terms of investment?
",4
"What is the website to find great ETFs on small cap stocks?
",1
"What is the typical P/E range for electric utility industry stocks?
",3
"What is a good maximum RSI value to use when doing a search with the RSI as one of the criteria?
",3
"How much value did retirees' nest eggs lose during the 2008-2009 bear market?
",3
"How is a company's profit usually reported in the financial media?
",4
"How much did FNMA's stock price drop between 2007 and 2008?
",5
"What kind of information does the stock data section in a report typically include?
",3
"How can investors make profit when stock prices fall?
",3
"How can ratios provide context to a company's financial data?
",5
"How does a stop-loss order work in the stock market?
",3
"What percentage growth in total earnings is considered a good benchmark for a company's year-to-year growth?
",5
"What can be the potential downside of brokerage reports?
",3
"What is a requirement to start participating in a Dividend Reinvestment Plan (DRP)?
",4
"Who prepares the stock reports provided by research departments at brokerage firms?
",2
"How can long-term stock investors buy stocks without using a broker?
",2
"How do insiders report their stock trading activities?
",3
"What does the company's letter communicate about its action plan for addressing difficulties?
",4
"What is the purpose of Standard & Poor's (S&P) Stock Reports?
",4
"What happens to a day order if the stock price does not reach the specified price by the end of the trading day?
",3
"What is motif investing and how much money is required to start?
",3
"Why might investors buy stocks of a company with a high P/E ratio?
",4
"How long does it take for the business to pay for itself in the example given?
",2
"What is a generally accepted price-to-sales ratio (PSR) that indicates a reasonably priced stock?
",4
"Do many brokers charge fees for Good 'til Cancelled (GTC) orders?
",4
"How to approach stock selection and what to avoid?
",2
"Which newspapers publish a year-in-review issue in the first business week of January?
",2
"What is the analogy used to explain the concept of successful industries?
",3
"What is one investment opportunity for those who want to benefit from the world's efforts to ""go green and clean""?
",4
"What type of stocks are generally riskier and require more research compared to large cap stocks?
",5
"What is the purpose of the letter from the chairman of the board in a company's annual report?
",4
"What happens when two orders are entered simultaneously with the condition that if one order is executed, the second order is automatically canceled?
",5
"What major law was passed in 2002 to protect investors from fraudulent accounting activities by corporations?
",5
"What is the ""4 Investment Strategies and Tactics"" primarily focused on?
",5
"What is the broadest measure of economic activity?
",5
"How do politics affect stock investing according to the text?
",4
"What is the purpose of the short-swing profit rule enacted by the SEC?
",5
"What should investors be aware of when speculating in small cap stocks?
",2
"What indicates a serious recession or possibly a depression?
",3
"What organization publishes the Consumer Confidence Index?
",3
"What is the purpose of checking a company's accounts receivable to detect potential issues with artificially boosted sales?
",5
"Who is John Templeton and how did he start his multimillion-dollar fortune?
",4
"What is the recommended amount of money to invest in small cap stocks for beginners?
",2
"What is the purpose of reading an annual report in investing?
",4
"What happened to marijuana stocks during 2018-2019?
",2
"What is the minimum amount of money required to start motif investing?
",5
"How much value did retirees' nest eggs lose during the 2008-2009 bear market?
",3
"What type of animal is likely to win a one-mile race between thoroughbred racehorses, overweight Elvis impersonators, and lethargic snails?
",5
"What is the Standard and Poor's (S&P) Industry Survey and how can you access it?
",5
"How can a company's sales to a war-torn or politically unstable country impact its stock?
",3
"How is the price-to-earnings (P/E) ratio calculated?
",4
"Who is AIG and what happened to them in late 2008?
",5
"How does politics affect a company in a nonsystemic way?
",3
"What is the definition of small cap stocks in terms of market value?
",3
"What is the purpose of Form 10K in the SEC filing?
",5
"How do stock screening tools allow users to search for stocks based on dividend yield?
",4
"How does a company's distribution of offerings impact its stock price?
",4
"What factors can contribute to the growth or decline of an industry?
",5
"How can I check a company's financial reports and see if any complaints have been filed against it?
",4
"What is the term for the money allocated for small cap stock investments that one can afford to lose?
",1
"How can I access a company's annual report?
",3
"How often do IPOs decline in price during the first 12 months?
",4
"What is the top performing motif for the 12-month period that ended October 2019?
",1
"What is the first dynamic impact of artificially lower prices set by price controls?
",4
"What is the first thing you typically see with a stock screening tool?
",4
"What is the name of the guide published by Standard & Poor's that provides a summary of stocks on the New York Stock Exchange and the largest firms listed on Nasdaq?
",4
"What type of fiscal year ends on December 31?
",5
"What is the greatest external threat to a company's survival according to the text?
",2
"What is a good investment option if I believe that grains in general will do well but I'm unsure which ones will be most profitable?
",3
"What does the company's letter communicate about its plan to address difficulties?
",5
"How many years does it take for the business to pay for itself in a P/E ratio of 30 for a small cap, high-technology firm?
",2
"What does the P/E ratio represent in the context of stock valuation?
",5
"In what way can brokerage reports be considered bad?
",2
"What is the result of government action against a company like GCU on the company's stock price?
",5
"What is the purpose of voting by proxy as a shareholder?
",5
"What is a popular website to find stock reports and SEC filings for small cap companies?
",3
"What is the minimum amount required to open a cash account with Motif?
",2
"What is a motif in the context of investing?
",5
"What is the purpose of a Form 10Q report?
",5
"What type of stocks are generally riskier due to their size?
",3
"How can ratios provide context to a company's earnings?
",5
"What is a generally accepted price-to-sales ratio (PSR) threshold for reasonably priced stocks?
",2
"What percentage growth in total earnings is considered a good benchmark?
",5
"What department of a company keeps SEC documents on hand and provides them to interested parties for free?
",3
"What is the purpose of the letter from the chairman of the board in a company's annual report?
",4
"What kind of industries rely on megatrends for growth?
",5
"Why might investors pay more for a company's stock, resulting in a higher P/E ratio?
",3
"What is the website address for Mish's Global Economic Trend Analysis?
",4
"What is the website address for Standard & Poor's publications?
",5
"How can I buy top stocks for as little as $50?
",3
"How can I find great ETFs on small cap stocks?
",1
"What type of stocks can an investor consider if they want to profit from the growth of online gambling?
",3
"What are three newspapers recommended for maintaining a personal investment research library?
",4
"How does an increase in the money supply impact stock prices?
",4
"What index calculates the prices paid at the wholesale level by manufacturers and producers?
",5
"What organization provides the National Unemployment Report?
",5
"How can an investor minimize risk and potential losses with small cap stocks?
",2
"Who prepares the stock reports provided by research departments at brokerage firms?
",3
"What is the full title of the ""Leading Economic Indicators"" statistic?
",2
"What is the typical P/E range for electric utility industry stocks?
",4
"What is the risk associated with motif investing?
",4
"How is a company's profit usually reported in the financial media?
",5
"What happened to many dot-com companies during the initial wave of the internet in the late 1990s?
",5
"What kind of industries are referred to as cyclical industries?
",5
"What is an example of a company that can be invested in if you believe soybeans will do well in the future?
",3
"What kind of performance can be expected from a healthcare sector ETF in different economic conditions?
",2
"How does a new tax, law, or regulation affect a stock?
",5
"Why is the federal government considering intervening in GCU's operations?
",3
"What is the relationship between politics and stock investing?
",5
"What can cause a company's facilities to become worthless and lead to huge losses?
",4
"What is the unit value of Bitcoin (BTC) during its peak in late 2017 to early 2018?
",3
"What is the role of politics in stock investing decisions?
",5
"What happens to company profits when interest rates go down?
",4
"What is the broadest measure of economic activity?
",5
"How many years does the annual report usually summarize in terms of past financial figures?
",5
"What are the governmental entities responsible for managing the supply of currency in the economy?
",5
"What is the significance of population growth and new markets for defensive stocks?
",3
"What is a leading robotics ETF?
",2
"What is a stock screening tool?
",3
"What type of IPO tends to be less risky?
",3
"What is the definition of the price to sales ratio (PSR)?
",4
"What is one investment strategy discussed in the context?
",3
"Where can investors find the company's strategic plan for the coming year in an annual report?
",4
"What percentage of a stock portfolio should ideally be in financially sound companies?
",3
"What is a recommended way to participate in the growth of cryptocurrencies with less exposure to their risks and volatility?
",3
"Which newspapers regularly publish a year-in-review issue in the first business week of January?
",5
"Will society continue to want the products and services provided by the sector in the long term?
",3
"How much in derivatives are major money center banks carrying according to the Bank for International Settlements?
",2
"What are two types of companies to consider investing in within an industry?
",3
"What is a recommended book to help understand financial reports?
",3
"What is included in the stock data section of a company's report?
",3
"What is the difference between a sector and an industry in the context of investing?
",5
"What are industries that continue to do well regardless of the economy called?
",5
"What happens to a chair-building company's profits when production costs rise and price controls are in effect?
",4
"What is the website address for the Federal Reserve?
",5
